,cep
1,
2,
3,
4,
5,57000-000
6,57000000
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,570728334
17,57072833
18,57046295
19,
20,
21,
22,57000000
23,57071-142
24,57000000
25,
26,
27,
28,57160-000
29,57180000
30,
31,
32,
33,
34,
35,
36,57160-000
37,57160-000
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,57073619
49,
50,57073451
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,57100000
67,
68,
69,57100000
70,57100000
71,57100000
72,57100000
73,57100000
74,
75,
76,57100000
77,
78,
79,
80,
81,57690000
82,57770000
83,57160000
84,57700000
85,
86,57180-000
87,
88,57071-035
89,57071-385
90,57180-000
91,57180-000
92,
93,57160-000
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,57160000
109,
110,57160-000
111,57160-000
112,5716000
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,57958000
139,57958000
140,
141,
142,
143,
144,
145,
146,
147,57160000
148,LOCAL NÃO SABIDO
149,
150,CIDADE DE ITAJAÍ - SC
151,
152,37223356
153,SEM INFORMAÇÕES
154,57160000
155,SEM INFORMAÇÕES
156,
157,SEM INFORMAÇÕES
158,SEM INFORMAÇÕES
159,SEM INFORMAÇÕES
160,
161,
162,
163,
164,
165,
166,
167,57160000
168,57160000
169,
170,05663-020
171,
172,57230000
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,57230000
186,
187,
188,
189,
190,
191,572300000
192,57230000
193,02858050
194,57230000
195,
196,
197,
198,
199,
200,
201,57200000
202,
203,
204,SEM CEP ATUAL 
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,57200000
218,57200000
219,
220,
221,57200000
222,
223,
224,
225,
226,57360000
227,
